                  #Energy              Total trace      Spin Up (spin axis)      Spin Dn (spin axis)         <Sz> (spin axis)
       -1.000000000000000        0.049882594389083        0.024941297479302        0.024941296909781       -0.000000000284761
       -0.998000000000000        0.050196418592211        0.025098212799059        0.025098205793151       -0.000000003502954
       -0.996000000000000        0.050516744620650        0.025258374284207        0.025258370336442       -0.000000001973882
       -0.994000000000000        0.050843664481487        0.025421834612950        0.025421829868537       -0.000000002372206
       -0.992000000000000        0.051177327513655        0.025588664071248        0.025588663442406       -0.000000000314421
       -0.990000000000000        0.051517811398764        0.025758906044319        0.025758905354445       -0.000000000344937
       -0.988000000000000        0.051865247636550        0.025932622301973        0.025932625334577        0.000000001516302
       -0.986000000000000        0.052219760820321        0.026109875917469        0.026109884902852        0.000000004492691
       -0.984000000000000        0.052581479776434        0.026290739496378        0.026290740280056        0.000000000391839
       -0.982000000000000        0.052950528103652        0.026475265805844        0.026475262297808       -0.000000001754018
       -0.980000000000000        0.053327037286514        0.026663517556193        0.026663519730321        0.000000001087064
       -0.978000000000000        0.053711163850946        0.026855581477223        0.026855582373723        0.000000000448250
       -0.976000000000000        0.054103042130683        0.027051525779391        0.027051516351292       -0.000000004714049
       -0.974000000000000        0.054502827547191        0.027251410811644        0.027251416735547        0.000000002961952
       -0.972000000000000        0.054910679960914        0.027455336676441        0.027455343284472        0.000000003304016
       -0.970000000000000        0.055326752781843        0.027663377072808        0.027663375709035       -0.000000000681887
       -0.968000000000000        0.055751206971895        0.027875601760233        0.027875605211662        0.000000001725715
       -0.966000000000000        0.056184235802457        0.028092117049663        0.028092118752794        0.000000000851566
       -0.964000000000000        0.056625996640859        0.028312999163079        0.028312997477780       -0.000000000842649
       -0.962000000000000        0.057076695968875        0.028538344914484        0.028538351054390        0.000000003069953
       -0.960000000000000        0.057536505430183        0.028768252984455        0.028768252445728       -0.000000000269364
       -0.958000000000000        0.058005633198379        0.029002815127862        0.029002818070517        0.000000001471328
       -0.956000000000000        0.058484294996547        0.029242148172705        0.029242146823843       -0.000000000674431
       -0.954000000000000        0.058972685444889        0.029486341407704        0.029486344037185        0.000000001314740
       -0.952000000000000        0.059471017793133        0.029735509411422        0.029735508381711       -0.000000000514856
       -0.950000000000000        0.059979558053229        0.029989778201404        0.029989779851824        0.000000000825210
       -0.948000000000000        0.060498505665308        0.030249253176713        0.030249252488594       -0.000000000344060
       -0.946000000000000        0.061028128141273        0.030514065218884        0.030514062922389       -0.000000001148247
       -0.944000000000000        0.061568668201109        0.030784334761895        0.030784333439213       -0.000000000661341
       -0.942000000000000        0.062120396051197        0.031060199084948        0.031060196966249       -0.000000001059349
       -0.940000000000000        0.062683568193561        0.031341781470704        0.031341786722856        0.000000002626076
       -0.938000000000000        0.063258498286996        0.031629249855401        0.031629248431595       -0.000000000711903
       -0.936000000000000        0.063845435394039        0.031922716281053        0.031922719112986        0.000000001415967
       -0.934000000000000        0.064444725767519        0.032222364522521        0.032222361244998       -0.000000001638762
       -0.932000000000000        0.065056661395637        0.032528332799747        0.032528328595890       -0.000000002101929
       -0.930000000000000        0.065681572789772        0.032840782868937        0.032840789920835        0.000000003525949
       -0.928000000000000        0.066319802365431        0.033159898714709        0.033159903650722        0.000000002468006
       -0.926000000000000        0.066971715300986        0.033485853107498        0.033485862193488        0.000000004542995
       -0.924000000000000        0.067637652957445        0.033818824808200        0.033818828149246        0.000000001670523
       -0.922000000000000        0.068318004970143        0.034159001020077        0.034159003950066        0.000000001464995
       -0.920000000000000        0.069013188899919        0.034506594683689        0.034506594216230       -0.000000000233730
       -0.918000000000000        0.069723578309563        0.034861790991861        0.034861787317703       -0.000000001837079
       -0.916000000000000        0.070449621929409        0.035224808816245        0.035224813113163        0.000000002148459
       -0.914000000000000        0.071191759730107        0.035595881413739        0.035595878316368       -0.000000001548686
       -0.912000000000000        0.071950453585099        0.035975233358666        0.035975220226432       -0.000000006566117
       -0.910000000000000        0.072726181561343        0.036363092011024        0.036363089550319       -0.000000001230352
