                  #Energy              Total trace      Spin Up (spin axis)      Spin Dn (spin axis)         <Sx> (spin axis)         <Sy> (spin axis)         <Sz> (spin axis)
       -1.000000000000000        0.011997123537919        0.003670746350241        0.008326377187677        0.000000000000000        0.000000000000000        0.002327815418718
       -0.998000000000000        0.012108109210077        0.003697289737258        0.008410819472819        0.000000000000000        0.000000000000000        0.002356764867780
       -0.996000000000000        0.012220795051573        0.003724153824315        0.008496641227258        0.000000000000000        0.000000000000000        0.002386243701471
       -0.994000000000000        0.012335217454990        0.003751344096202        0.008583873358788        0.000000000000000        0.000000000000000        0.002416264631293
       -0.992000000000000        0.012451413855629        0.003778866173103        0.008672547682525        0.000000000000000        0.000000000000000        0.002446840754711
       -0.990000000000000        0.012569422754507        0.003806725802064        0.008762696952443        0.000000000000000        0.000000000000000        0.002477985575189
       -0.988000000000000        0.012689283766355        0.003834928870175        0.008854354896179        0.000000000000000        0.000000000000000        0.002509713013002
       -0.986000000000000        0.012811037662892        0.003863481405767        0.008947556257124        0.000000000000000        0.000000000000000        0.002542037425678
       -0.984000000000000        0.012934726406045        0.003892389585941        0.009042336820105        0.000000000000000        0.000000000000000        0.002574973617082
       -0.982000000000000        0.013060393187941        0.003921659733750        0.009138733454191        0.000000000000000        0.000000000000000        0.002608536860220
       -0.980000000000000        0.013188082486184        0.003951298328191        0.009236784157993        0.000000000000000        0.000000000000000        0.002642742914901
       -0.978000000000000        0.013317840110100        0.003981312013460        0.009336528096640        0.000000000000000        0.000000000000000        0.002677608041590
       -0.976000000000000        0.013449713240058        0.004011707594996        0.009438005645062        0.000000000000000        0.000000000000000        0.002713149025033
       -0.974000000000000        0.013583750485723        0.004042492045165        0.009541258440558        0.000000000000000        0.000000000000000        0.002749383197697
       -0.972000000000000        0.013720001941904        0.004073672520285        0.009646329421619        0.000000000000000        0.000000000000000        0.002786328450667
       -0.970000000000000        0.013858519235141        0.004105256353707        0.009753262881434        0.000000000000000        0.000000000000000        0.002824003263864
